group,names,scores,logfoldchanges,pvals,pvals_adj
34,Slc6a1,179.49739,4.976885,0.0,0.0
33,Tmem178,179.39561,2.9743187,0.0,0.0
33,Nxph3,179.25273,4.5554514,0.0,0.0
33,Hs3st4,179.24568,3.7061086,0.0,0.0
33,Grik3,179.13704,3.068262,0.0,0.0
33,Ano3,178.51538,3.1392071,0.0,0.0
14,Dlgap2,178.19934,2.6920547,0.0,0.0
14,Elavl2,177.14127,2.685362,0.0,0.0
31,Pdgfra,177.09747,8.580325,0.0,0.0
34,Marchf11,176.70929,5.003639,0.0,0.0
34,Kcna2,176.21663,4.0156145,0.0,0.0
33,Ptk2,176.1011,2.1094522,0.0,0.0
33,Rasgrp1,175.86363,3.0634222,0.0,0.0
33,Nos1ap,175.72754,2.9523132,0.0,0.0
14,Sh3rf3,175.25023,2.823812,0.0,0.0
34,Eml5,175.18964,3.7389305,0.0,0.0
31,Pcdh15,174.93797,4.729342,0.0,0.0
33,Nptx1,174.66652,3.052795,0.0,0.0
31,Epn2,174.5667,3.6558464,0.0,0.0
14,Maf,174.55568,3.11548,0.0,0.0
5,Adcy5,174.26973,4.3898435,0.0,0.0
33,Rai14,173.87003,3.7778718,0.0,0.0
5,Car11,173.74762,2.4829888,0.0,0.0
33,Ephb6,173.69734,2.9406013,0.0,0.0
26,Islr2,173.58618,4.8114557,0.0,0.0
31,Sulf2,172.23572,4.225721,0.0,0.0
31,Myt1,171.80246,3.5486453,0.0,0.0
33,Ngef,171.75125,2.7725854,0.0,0.0
5,Pde1b,169.61206,3.6193728,0.0,0.0
14,Gad2,169.58582,2.669902,0.0,0.0
34,Whrn,168.99062,4.71784,0.0,0.0
5,Ric8b,168.84471,2.3504956,0.0,0.0
34,Grid2,168.57765,4.3733797,0.0,0.0
5,Ppp1r1b,168.392,4.6630564,0.0,0.0
5,Ndrg4,168.29965,2.3716493,0.0,0.0
26,Foxp1,168.09293,4.0895205,0.0,0.0
5,Baiap2,167.74326,2.8285625,0.0,0.0
14,Grik1,167.7377,3.3938673,0.0,0.0
5,Pde10a,167.30733,3.8267093,0.0,0.0
34,Adam11,167.0003,3.5121515,0.0,0.0
5,Ngef,166.55574,3.1315439,0.0,0.0
14,Erbb4,166.47511,3.463336,0.0,0.0
34,Pvalb,166.07594,5.1291413,0.0,0.0
5,Pde2a,165.57594,3.0041308,0.0,0.0
34,Cabp1,165.37709,3.623118,0.0,0.0
19,Ntng1,165.26091,4.9658294,0.0,0.0
14,Grip1,165.2386,2.6544867,0.0,0.0
31,Sox10,165.20125,4.8802614,0.0,0.0
5,Dgkb,164.41249,3.4023116,0.0,0.0
31,Xylt1,164.16505,4.422266,0.0,0.0
5,Grm5,164.16257,2.6970496,0.0,0.0
34,Slc24a3,164.08388,3.7067852,0.0,0.0
14,Arx,163.80824,3.8811715,0.0,0.0
34,Cnpy1,163.75284,4.5802298,0.0,0.0
5,Cx3cl1,162.79535,2.7377906,0.0,0.0
34,Hcn1,162.64427,4.092577,0.0,0.0
34,Gria3,162.55922,3.4769864,0.0,0.0
14,Tcf4,161.88911,1.8890461,0.0,0.0
14,Vstm2a,161.70424,2.4823675,0.0,0.0
34,Ntn1,161.67508,5.62691,0.0,0.0
5,Camkv,161.62004,2.7083657,0.0,0.0
31,Mmp15,161.61926,5.214496,0.0,0.0
34,Slc24a2,161.22432,3.6412468,0.0,0.0
5,Kcnip2,160.99373,3.5294557,0.0,0.0
34,Epha8,160.22687,4.395375,0.0,0.0
34,Coro6,159.70079,4.658708,0.0,0.0
34,Adgrb1,159.38104,2.7527177,0.0,0.0
34,Trim67,159.15768,4.125884,0.0,0.0
31,Cspg5,158.65865,3.4826043,0.0,0.0
14,Slc32a1,158.5568,2.5766366,0.0,0.0
14,Arnt2,158.40976,2.033708,0.0,0.0
5,Gng7,158.12714,3.9871585,0.0,0.0
26,Robo1,157.07475,3.4379883,0.0,0.0
31,Gpr37l1,157.02342,6.43324,0.0,0.0
18,Islr2,156.8473,4.753826,0.0,0.0
31,Cntn1,156.81073,2.5710664,0.0,0.0
5,Akap5,156.57654,3.0463426,0.0,0.0
26,Zfp57,156.02214,3.5946326,0.0,0.0
18,Nin,155.12743,3.4145863,0.0,0.0
45,Col1a2,154.48474,8.71387,0.0,0.0
31,Rap1gap,154.13481,2.222086,0.0,0.0
19,Tcf7l2,154.09567,4.7511773,0.0,0.0
31,Scrg1,153.23549,6.372637,0.0,0.0
18,Sez6,152.31905,3.1553533,0.0,0.0
12,Cpne6,152.20737,2.9310696,0.0,0.0
19,Slc17a6,152.11702,4.363334,0.0,0.0
18,Sox5,152.0463,4.580059,0.0,0.0
18,Neurod2,151.65875,3.7006698,0.0,0.0
26,Meis2,151.51147,3.7150578,0.0,0.0
12,R3hdm1,151.3682,2.1735902,0.0,0.0
26,Nsg1,151.11049,2.265336,0.0,0.0
12,Camk2a,150.55096,2.7664921,0.0,0.0
12,Icam5,150.35954,3.0239592,0.0,0.0
12,Kcnma1,150.29752,2.437457,0.0,0.0
26,Bcl11b,149.9842,3.954901,0.0,0.0
18,Sybu,148.90414,2.8849354,0.0,0.0
26,Bcl11a,148.59114,3.1606047,0.0,0.0
12,Arpp21,147.72865,2.6171875,0.0,0.0
19,Samd5,147.28693,3.9240234,0.0,0.0
12,Prkcg,147.27037,2.641323,0.0,0.0
12,Lmo7,146.27367,3.2280588,0.0,0.0
26,Celf2,146.07756,2.2755477,0.0,0.0
23,Dcx,145.93848,3.024279,0.0,0.0
18,Tiam2,145.4533,4.176143,0.0,0.0
23,Igfbpl1,144.65361,4.8169765,0.0,0.0
45,Col1a1,144.19847,8.893231,0.0,0.0
18,Zfp57,144.05717,3.5597746,0.0,0.0
26,Chd3,143.80786,2.3033464,0.0,0.0
18,Tubb2b,143.70955,3.9394388,0.0,0.0
18,Tle4,142.93628,3.9818869,0.0,0.0
19,Slitrk6,142.85976,5.879265,0.0,0.0
18,Cd24a,142.63239,3.3362107,0.0,0.0
19,Cpne7,142.40256,4.5673103,0.0,0.0
18,Celf2,142.21492,2.355655,0.0,0.0
18,Khdrbs3,142.17119,2.9705334,0.0,0.0
18,Dpysl5,141.56352,3.0563438,0.0,0.0
26,Fnbp1l,141.50116,2.4812691,0.0,0.0
18,Tbr1,141.41824,4.235056,0.0,0.0
18,Stmn1,140.11082,2.5206563,0.0,0.0
12,Chrm1,139.47372,2.5677671,0.0,0.0
45,Sned1,139.44148,5.6740136,0.0,0.0
26,Rarb,139.25958,4.4160028,0.0,0.0
18,Nsg1,139.01418,2.2085176,0.0,0.0
19,Cacna1g,138.88857,2.857074,0.0,0.0
18,Fnbp1l,138.87419,2.575972,0.0,0.0
45,Serpinh1,138.8015,5.641897,0.0,0.0
45,Col3a1,138.78339,9.25786,0.0,0.0
23,Dlx1,138.61105,4.9208183,0.0,0.0
18,Nfib,138.56024,2.8197658,0.0,0.0
12,Dlgap2,138.28313,2.4794593,0.0,0.0
45,Igf2,138.0623,8.3907795,0.0,0.0
12,Il34,137.9597,2.6409354,0.0,0.0
12,Slc17a7,137.68513,3.1345832,0.0,0.0
26,Cd24a,137.63678,2.8497686,0.0,0.0
12,Ptk2b,137.23387,2.5563004,0.0,0.0
12,Pde2a,137.12015,2.3426363,0.0,0.0
45,Mrc2,136.98782,6.7442746,0.0,0.0
12,Syt7,136.8248,2.032667,0.0,0.0
45,Gja1,136.5938,6.5400257,0.0,0.0
12,Itpka,136.58029,2.843577,0.0,0.0
12,Fam81a,136.51198,2.5692146,0.0,0.0
18,Dpysl3,136.26524,3.1061594,0.0,0.0
12,Slc30a3,135.74226,3.4585035,0.0,0.0
26,Plppr3,135.30571,2.4474847,0.0,0.0
26,Tubb2b,135.09335,3.3574576,0.0,0.0
12,Sorbs2,134.81163,2.334327,0.0,0.0
12,Csmd1,134.3892,2.2176366,0.0,0.0
26,Tuba1a,133.67223,2.2365193,0.0,0.0
26,Dpysl3,133.53554,2.8323493,0.0,0.0
26,Syt5,133.51262,2.4685605,0.0,0.0
26,Rxrg,133.31158,5.1806135,0.0,0.0
26,Rbfox2,133.08563,1.6372305,0.0,0.0
19,Zfp423,130.15211,3.1852467,0.0,0.0
30,Prkcg,129.15848,3.4131444,0.0,0.0
23,Plppr3,128.91814,2.584856,0.0,0.0
45,Islr,128.57533,6.8977594,0.0,0.0
30,Cpne6,127.92372,3.889908,0.0,0.0
45,Gjb6,127.0759,7.7898765,0.0,0.0
27,Zbtb16,126.92615,4.0217977,0.0,0.0
45,Sparc,126.759735,4.3586082,0.0,0.0
30,Cpne7,126.5232,5.3066416,0.0,0.0
27,Adarb2,125.86838,4.9567986,0.0,0.0
30,Cacng8,125.67783,2.858415,0.0,0.0
45,Cfh,125.52352,5.4187064,0.0,0.0
40,Plekhg5,125.4075,4.416272,0.0,0.0
19,Syt7,125.153015,2.2607126,0.0,0.0
23,Zfp57,124.83919,3.041551,0.0,0.0
45,Gjb2,124.71469,8.796265,0.0,0.0
19,Kitl,124.71063,3.8660889,0.0,0.0
40,Ppfia2,124.38349,3.3766806,0.0,0.0
30,Sstr4,124.232796,4.2010155,0.0,0.0
30,Gria1,123.680374,3.240282,0.0,0.0
23,Adarb2,123.11986,4.079476,0.0,0.0
30,St6galnac5,122.90152,3.6205606,0.0,0.0
27,Slc2a13,122.75671,3.2572591,0.0,0.0
30,Epha6,122.534294,3.7452278,0.0,0.0
30,Camk2a,122.358086,3.205158,0.0,0.0
32,Cldn5,122.34271,12.100948,0.0,0.0
27,Erbb4,122.248055,3.9914312,0.0,0.0
