sample_id,group,age,sex,pool,B cell,DSC,Endothelium,Epithelial,Erythrocyte,GC,JZP,LaTP,Lymphatic EC,Megakaryocyte,Mesenchyme,Myeloid,NK,Parietal endoderm,S-TGC,SpT,SynTI,SynTII,Yolk sac epithelial,unassigned_immune
CES3.2,Relaxed,E12.5,F,Pool4,0.012915636163781259,0.29274133396144936,0.08448160797707377,0.0025517214305342912,0.04090605739410356,0.03046362815530169,0.09460997919365603,0.0834216621520826,7.851450555490127e-05,0.0038079535194127114,0.030071055627527186,0.025320928041455658,0.04479252541907117,0.041023829152435916,0.04047422761355161,0.06705138774388568,0.039217995524673185,0.017116162210968476,0.009146939897145998,0.03980685431633494
CES4.1,Relaxed,E12.5,M,Pool3,0.009190280582051104,0.03105200863329388,0.05458469679036413,0.010721994012392953,0.08138968182134651,0.025830258302583026,0.07164241453735293,0.09225092250922509,0.00027849335097124555,0.009399150595279538,0.16890621736406045,0.026804985030982387,0.007797813827194876,0.05514168349230662,0.07679454153032096,0.06001531713430342,0.023323818143841817,0.018171691150873772,0.15943744343103808,0.017266587760217226
LSP1.4,Late_Stress,E18.5,F,Pool4,0.003639672429481347,0.21269335759781619,0.10335153169548074,0.016454352441613588,0.00045495905368516835,0.11692447679708826,0.00037913254473764026,0.0,0.002653927813163482,7.582650894752806e-05,0.04549590536851683,0.012283894449499545,0.003033060357901122,0.09683045192599332,0.0402638762511374,0.12291477100394298,0.13117986047922353,0.04587503791325447,0.032226266302699424,0.01326963906581741
LSP1.7,Late_Stress,E18.5,F,Pool4,0.001690885072655218,0.21912813738441214,0.1383883751651255,0.015270805812417437,0.00015852047556142668,0.0942668428005284,0.0,0.00010568031704095113,0.001690885072655218,0.00021136063408190226,0.05389696169088507,0.01093791281373844,0.0017437252311756936,0.0748216644649934,0.04892998678996037,0.12470277410832233,0.10081902245706736,0.01785997357992074,0.08686922060766182,0.008507265521796566
LSP1.3,Late_Stress,E18.5,M,Pool4,0.002143420015760441,0.15501970055161546,0.11189913317572892,0.0005988967691095351,0.00031520882584712374,0.10817966903073287,6.304176516942474e-05,3.152088258471237e-05,0.0,0.00028368794326241134,0.05468873128447597,0.010937746256895193,0.00185973207249803,0.08709219858156028,0.0308274231678487,0.10474389282899921,0.0876595744680851,0.040819542947202525,0.19155240346729707,0.011284475965327029
LSP2.3,Late_Stress,E18.5,M,Pool4,0.005833072345756342,0.16109458189790166,0.13486533041027246,0.0036407766990291263,0.00031318509238960227,0.13122455371124334,0.00015659254619480113,3.914813654870028e-05,0.0004306295020357031,0.00035233322893830254,0.06698246163482618,0.014289069840275602,0.0015659254619480112,0.06925305355465079,0.05790009395552772,0.13987629188850612,0.09986689633573442,0.017342624491074224,0.0836987159411212,0.011274663326025681
LCP1.3,Relaxed,E18.5,F,Pool4,0.010507970680198882,0.12250756061305039,0.11856066430878057,0.0009226510841150238,0.0011276846583628069,0.1109744220616126,5.125839356194577e-05,5.125839356194577e-05,0.0,0.0012302014454866985,0.05146342713619355,0.01732533702393767,0.0030242452201548003,0.15638935875749654,0.052539853400994416,0.1451637705674304,0.1375262699267005,0.04608129581218925,0.013173407145420063,0.01137936337075196
LCP2.3,Relaxed,E18.5,F,Pool4,0.012184435635301482,0.13594825787606926,0.16887127060296264,0.001418735656165241,0.0007093678280826205,0.09092426455247235,4.1727519298977675e-05,0.0,0.00020863759649488838,0.0005424577508867098,0.07978301689964531,0.02553724181097434,0.003213018986021281,0.09772585019820572,0.10010431879824744,0.14095556019194658,0.10227414980179428,0.020404756937200084,0.01201752555810557,0.007135405800125182
LCP2.2,Relaxed,E18.5,M,Pool4,0.014613192018948975,0.14384359067003893,0.15733269099522262,0.0005218997149624634,0.0007627765064836003,0.11060259344012205,8.029226384037898e-05,0.0,0.00024087679152113694,0.0005218997149624634,0.08338351599823357,0.019912481432413986,0.004094905455859328,0.09442370227628567,0.050503833955598376,0.14424505198924084,0.11357340720221606,0.019229997189770767,0.032317636195752536,0.009795656188526236
LCP2.4,Relaxed,E18.5,M,Pool4,0.01017787501189004,0.17449824027394653,0.15300104632359934,0.00271092932559688,0.00033292114524873965,0.10853229335108913,0.00019024065442785123,9.512032721392562e-05,0.0033292114524873964,0.00038048130885570247,0.07095976410158851,0.018928945115571198,0.0036145724341291735,0.0911728336345477,0.0673927518310663,0.15057547797964424,0.08099495862265767,0.013126605155521736,0.041044421192808905,0.008941310758109007
