group,names,scores,logfoldchanges,pvals,pvals_adj
40,S100g,150.01881,6.0799236,0.0,0.0
14,Taf1d,149.80742,2.351541,0.0,0.0
0,Mitf,149.15932,3.1858652,0.0,0.0
0,Fn1,148.57906,2.3389513,0.0,0.0
40,Pgc,148.29523,8.104013,0.0,0.0
11,Kel,148.29509,9.044546,0.0,0.0
14,Hat1,148.26166,2.985156,0.0,0.0
19,Pecam1,147.7215,4.406428,0.0,0.0
11,Hba-x,147.63254,5.5482516,0.0,0.0
14,Gnl3,147.32596,2.4516566,0.0,0.0
0,Hdac4,147.28627,2.6850412,0.0,0.0
19,Jade1,146.80702,3.1082304,0.0,0.0
19,Cldn5,146.77821,5.432692,0.0,0.0
11,Slc4a1,146.19624,7.9743085,0.0,0.0
0,Snd1,145.96318,1.7769905,0.0,0.0
19,Egfl7,145.70468,5.0822186,0.0,0.0
14,Alpl,145.22841,3.3929543,0.0,0.0
14,Mtss2,145.14821,3.9377234,0.0,0.0
19,Rapgef5,145.13857,4.7915506,0.0,0.0
26,Col5a1,145.0901,3.9297342,0.0,0.0
0,Dst,144.95338,2.2044408,0.0,0.0
19,Adgrg3,144.93985,4.795065,0.0,0.0
40,Pth1r,144.83797,4.914352,0.0,0.0
19,Lepr,144.0024,4.523169,0.0,0.0
19,Stab1,143.69496,5.705279,0.0,0.0
19,Adamts9,143.40393,4.6460576,0.0,0.0
33,Lama1,143.20157,6.553937,0.0,0.0
19,Tc2n,142.64705,6.498449,0.0,0.0
14,Tnpo2,142.44574,2.0172617,0.0,0.0
19,Ctnnb1,142.29175,2.7069464,0.0,0.0
13,Fnd3c2,142.14499,5.420978,0.0,0.0
19,Rasgrp3,142.06606,5.3621435,0.0,0.0
14,Phlda2,142.02055,4.145493,0.0,0.0
11,Slc25a37,140.90695,4.9910755,0.0,0.0
33,Pth1r,140.48354,6.017436,0.0,0.0
14,Ppan,140.38304,2.6452136,0.0,0.0
40,Trpm6,139.3268,4.863727,0.0,0.0
34,Pth1r,139.29967,6.07353,0.0,0.0
13,Ctsq,138.90047,5.725497,0.0,0.0
14,Srpk1,138.5472,1.8121465,0.0,0.0
11,Hmbs,137.13841,4.7655706,0.0,0.0
14,Tbrg4,136.6707,2.4341128,0.0,0.0
14,Ddx21,136.44688,2.5602515,0.0,0.0
14,Mat2a,136.32263,2.1073196,0.0,0.0
40,Trpv6,136.17834,7.2703714,0.0,0.0
40,Cnnm2,135.93805,4.9217005,0.0,0.0
11,Ank1,135.6963,7.2643485,0.0,0.0
10,Prl3b1,135.07585,3.1183383,0.0,0.0
40,Msi2,135.07501,2.8512816,0.0,0.0
4,Gzmf,135.03122,3.2160945,0.0,0.0
40,Sfi1,134.75038,2.9393897,0.0,0.0
26,Gnas,134.73808,2.6989713,0.0,0.0
40,Rhpn1,134.37532,7.2555027,0.0,0.0
40,Dmgdh,133.76987,8.062962,0.0,0.0
26,Mest,133.54742,3.5080445,0.0,0.0
13,Lepr,133.2452,5.3822703,0.0,0.0
14,Cluh,133.23314,2.6694436,0.0,0.0
11,Abcb10,133.19649,5.0982127,0.0,0.0
14,Dnmt1,132.97015,2.1557226,0.0,0.0
40,Tmc4,132.96802,3.3259993,0.0,0.0
34,Lama1,132.69872,5.5513277,0.0,0.0
26,Myh10,132.54366,3.2931209,0.0,0.0
11,Acp5,132.0365,6.254437,0.0,0.0
27,Mcam,131.853,5.252881,0.0,0.0
4,Prl7a1,131.82152,3.260384,0.0,0.0
33,Col4a1,131.47713,3.7614045,0.0,0.0
14,Nop56,131.45349,2.6402845,0.0,0.0
13,Shroom1,131.24207,3.6823785,0.0,0.0
14,Rad54b,131.05544,3.449048,0.0,0.0
2,Exoc3l4,130.86316,4.6513624,0.0,0.0
14,Mki67,130.57346,2.8307157,0.0,0.0
27,Flna,130.44476,3.8668404,0.0,0.0
